Wavelength,Reflectance,,
350,70.3,,
360,80.4,,
370,80.7,,
380,78.6,,
390,97.9,,
400,90,,
410,94.4,,
420,93.4,,
430,92.2,,
440,94,,
450,95.6,,
460,94.9,,
470,95.7,,
480,95.1,,
490,97.9,,
500,98.1,,
510,98.5,,
520,99,,
530,98.5,,
540,98.6,,
550,98.4,,
560,98.9,,
570,98.3,,
580,98.6,,
590,98.3,,
600,98.4,,
610,98.4,,
620,98.4,,
630,98.6,,
640,98.3,,
650,98.1,,
660,98.7,,
670,98.2,,
680,97.7,,
690,97.9,,
700,97.4,,
710,97.8,,
720,97.7,,
730,97.4,,
740,97.6,,
750,97.3,,
760,96.8,,
770,97.6,,
780,97.5,,
790,98.1,,
800,96.9,,
810,96.7,,
820,97.5,,
830,97.3,,
840,97,,
850,95.8,,
860,96.2,,
870,96.3,,
880,97.5,,
890,96,,
900,97,,
910,95.9,,
920,97.4,,
930,96.2,,
940,96.1,,
950,95.6,,
960,96.7,,
970,95.8,,
980,92.8,,
990,94.8,,
1000,92.9,,
,,,