Wavelength,OD Scan,Left Scan,Vertical Scan
400.00,80.06,78.32955556,78.58
410.00,80.32,78.668,78.83
420.00,80.54,78.95266667,79.02
430.00,80.72,79.19644444,79.18
440.00,80.90,79.41044444,79.34
450.00,81.05,79.58866667,79.47
460.00,81.13,79.71955556,79.53
470.00,81.19,79.82866667,79.56
480.00,81.32,79.98844444,79.71
490.00,81.40,80.10911111,79.77
500.00,81.49,80.23133333,79.85
510.00,81.59,80.34777778,79.95
520.00,81.67,80.44688889,80.01
530.00,81.73,80.54222222,80.07
540.00,81.75,80.59133333,80.09
550.00,81.75,80.63133333,80.09
560.00,81.78,80.67555556,80.13
570.00,81.80,80.708,80.15
580.00,81.80,80.73644444,80.16
590.00,81.76,80.73066667,80.13
600.00,81.76,80.74422222,80.15
610.00,81.71,80.71622222,80.10
620.00,81.68,80.70644444,80.09
630.00,81.57,80.64244444,79.98
640.00,81.50,80.57933333,79.93
650.00,81.39,80.50577778,79.82
660.00,81.35,80.45844444,79.81
670.00,81.27,80.38355556,79.76
680.00,81.14,80.33555556,79.59
690.00,80.97,80.23466667,79.40
700.00,80.83,80.11355556,79.27