Name,Begin,,,End,,,Delta,,,,
,X1,Y1,Z1,X2,Y2,Z2,dX,dY,dZ,Mag,
,(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),
1,38.259,355.404,47.936,38.259,355.403,47.932,0,-0.002,-0.004,-0.004, 
2,40.101,343.39,52.987,40.101,343.39,52.987,0,0,0,0, 
3,41.095,331.382,57.989,41.096,331.383,57.991,0,0.001,0.002,0.002, 
4,41.029,316.88,63.974,41.029,316.88,63.975,0,0,0,0, 
5,39.988,298.668,71.345,39.988,298.667,71.34,0,-0.002,-0.004,-0.005, 
6,39.473,287.749,75.646,39.473,287.75,75.647,0,0,0.001,0.001, 
7,35.754,277.064,79.933,35.754,277.064,79.931,0,-0.001,-0.002,-0.002, 
8,34.703,266.604,83.91,34.702,266.601,83.9,0,-0.004,-0.01,-0.011, 
9,33.6,255.402,88.066,33.6,255.402,88.066,0,0,0,0, 
10,31.161,244.237,92.162,31.161,244.237,92.162,0,0,0,0, 
11,29.427,231.794,96.543,29.427,231.797,96.551,0,0.003,0.008,0.008, 
12,25.548,220.211,100.576,25.548,220.213,100.583,0,0.002,0.007,0.008, 
13,21.7,210.372,103.898,21.7,210.373,103.901,0,0.001,0.002,0.002, 
14,20.164,200.349,107.088,20.164,200.35,107.09,0,0,0.001,0.001, 
15,17.482,191.045,109.983,17.482,191.045,109.982,0,0,-0.001,-0.001, 
16,14.151,179.979,113.287,14.151,179.98,113.287,0,0,0,0, 
17,153.194,-80.153,115.402,153.195,-80.153,115.404,0,0,0.002,0.002, 
18,160.454,-89.052,112.399,160.453,-89.052,112.396,-0.001,0,-0.003,-0.003, 
19,170.047,-98.576,108.526,170.047,-98.576,108.525,0,0,-0.001,-0.001, 
20,180.54,-109.855,103.906,180.54,-109.855,103.905,0,0,0,-0.001, 
21,188.477,-121.726,99.639,188.48,-121.727,99.648,0.002,-0.002,0.009,0.009, 
22,195.723,-132.965,95.473,195.724,-132.965,95.477,0.001,-0.001,0.003,0.004, 
23,206.824,-144.23,89.987,206.823,-144.23,89.986,0,0,-0.001,-0.001, 
24,215.603,-153.239,85.467,215.602,-153.239,85.463,-0.001,0.001,-0.004,-0.004, 
25,224.948,-161.24,80.86,224.947,-161.24,80.859,0,0,-0.002,-0.002, 
26,234.035,-169.086,76.25,234.036,-169.087,76.252,0.001,0,0.002,0.002, 
27,241.294,-178.825,71.671,241.294,-178.825,71.671,0,0,-0.001,-0.001, 
28,250.376,-187.223,66.717,250.377,-187.224,66.721,0.001,-0.001,0.004,0.004, 
29,258.303,-194.42,62.341,258.303,-194.42,62.342,0,0,0.001,0.001, 
30,266.39,-200.161,58.206,266.39,-200.161,58.206,0,0,0,0, 
31,274.935,-209.17,53.015,274.935,-209.169,53.015,0,0,0,0, 
32,280.577,-216.016,49.3,280.577,-216.016,49.3,0,0,0,0, 
33,285.852,-222.343,45.806,285.849,-222.34,45.797,-0.003,0.002,-0.009,-0.01, 
34,-153.505,-80.911,115.206,-153.505,-80.911,115.208,0,0,0.002,0.002, 
35,-163.779,-83.29,112.31,-163.779,-83.29,112.307,0.001,0,-0.003,-0.003, 
36,-175.939,-86.818,108.613,-175.937,-86.818,108.609,0.001,0.001,-0.004,-0.005, 
37,-188.471,-93.288,104.215,-188.47,-93.288,104.213,0,0,-0.002,-0.002, 
38,-205.421,-97.661,98.579,-205.424,-97.663,98.587,-0.003,-0.001,0.008,0.009, 
39,-222.425,-105.467,92.103,-222.425,-105.467,92.102,0,0,-0.001,-0.001, 
40,-232.876,-110.268,87.962,-232.876,-110.268,87.962,0,0,0,0, 
41,-243.717,-114.053,83.737,-243.716,-114.053,83.734,0.001,0,-0.003,-0.003, 
42,-256.069,-117.461,78.936,-256.07,-117.462,78.939,-0.001,0,0.002,0.002, 
43,-263.216,-120.097,75.992,-263.217,-120.097,75.995,-0.001,-0.001,0.004,0.004, 
44,-270.938,-123.817,72.617,-270.939,-123.818,72.621,-0.001,-0.001,0.003,0.004, 
45,-281.094,-128.479,68.139,-281.095,-128.48,68.142,-0.001,-0.001,0.003,0.003, 
46,-289.711,-132.053,64.337,-289.711,-132.053,64.339,-0.001,0,0.002,0.002, 
47,-299.683,-134.571,60.145,-299.684,-134.572,60.147,-0.001,0,0.002,0.003, 
48,-306.775,-137.277,56.965,-306.776,-137.278,56.968,-0.001,0,0.003,0.003, 
49,-315.822,-139.618,53.051,-315.821,-139.617,53.049,0.001,0,-0.002,-0.002, 
50,-323.692,-144.977,49.022,-323.693,-144.977,49.023,0,0,0.001,0.001, 
51,-327.594,-148.973,46.765,-327.592,-148.973,46.76,0.002,0.001,-0.004,-0.005, 
52,-330.526,-151.564,45.13,-330.521,-151.561,45.118,0.005,0.002,-0.012,-0.013, 